x-axis,1
second,Volt
-938.60E-06,
-937.60E-06,
-936.60E-06,
-935.60E-06,
-934.60E-06,
-933.60E-06,
-932.60E-06,
-931.60E-06,
-930.60E-06,
-929.60E-06,
-928.60E-06,
-927.60E-06,
-926.60E-06,
-925.60E-06,
-924.60E-06,
-923.60E-06,
-922.60E-06,
-921.60E-06,
-920.60E-06,
-919.60E-06,
-918.60E-06,
-917.60E-06,
-916.60E-06,
-915.60E-06,
-914.60E-06,
-913.60E-06,
-912.60E-06,
-911.60E-06,
-910.60E-06,
-909.60E-06,
-908.60E-06,
-907.60E-06,
-906.60E-06,
-905.60E-06,
-904.60E-06,
-903.60E-06,
-902.60E-06,
-901.60E-06,
-900.60E-06,
-899.60E-06,
-898.60E-06,
-897.60E-06,
-896.60E-06,
-895.60E-06,
-894.60E-06,
-893.60E-06,
-892.60E-06,
-891.60E-06,
-890.60E-06,
-889.60E-06,
-888.60E-06,
-887.60E-06,
-886.60E-06,
-885.60E-06,
-884.60E-06,
-883.60E-06,
-882.60E-06,
-881.60E-06,
-880.60E-06,
-879.60E-06,
-878.60E-06,
-877.60E-06,
-876.60E-06,
-875.60E-06,
-874.60E-06,
-873.60E-06,
-872.60E-06,
-871.60E-06,
-870.60E-06,
-869.60E-06,
-868.60E-06,
-867.60E-06,
-866.60E-06,
-865.60E-06,
-864.60E-06,
-863.60E-06,
-862.60E-06,
-861.60E-06,
-860.60E-06,
-859.60E-06,
-858.60E-06,
-857.60E-06,
-856.60E-06,
-855.60E-06,
-854.60E-06,
-853.60E-06,
-852.60E-06,
-851.60E-06,
-850.60E-06,
-849.60E-06,
-848.60E-06,
-847.60E-06,
-846.60E-06,
-845.60E-06,
-844.60E-06,
-843.60E-06,
-842.60E-06,
-841.60E-06,
-840.60E-06,
-839.60E-06,
-838.60E-06,
-837.60E-06,
-836.60E-06,
-835.60E-06,
-834.60E-06,
-833.60E-06,
-832.60E-06,
-831.60E-06,
-830.60E-06,
-829.60E-06,
-828.60E-06,
-827.60E-06,
-826.60E-06,
-825.60E-06,
-824.60E-06,
-823.60E-06,
-822.60E-06,
-821.60E-06,
-820.60E-06,
-819.60E-06,
-818.60E-06,
-817.60E-06,
-816.60E-06,
-815.60E-06,
-814.60E-06,
-813.60E-06,
-812.60E-06,
-811.60E-06,
-810.60E-06,
-809.60E-06,
-808.60E-06,
-807.60E-06,
-806.60E-06,
-805.60E-06,
-804.60E-06,
-803.60E-06,
-802.60E-06,
-801.60E-06,
-800.60E-06,
-799.60E-06,
-798.60E-06,
-797.60E-06,
-796.60E-06,
-795.60E-06,
-794.60E-06,
-793.60E-06,
-792.60E-06,
-791.60E-06,
-790.60E-06,
-789.60E-06,
-788.60E-06,
-787.60E-06,
-786.60E-06,
-785.60E-06,
-784.60E-06,
-783.60E-06,
-782.60E-06,
-781.60E-06,
-780.60E-06,
-779.60E-06,
-778.60E-06,
-777.60E-06,
-776.60E-06,
-775.60E-06,
-774.60E-06,
-773.60E-06,
-772.60E-06,
-771.60E-06,
-770.60E-06,
-769.60E-06,
-768.60E-06,
-767.60E-06,
-766.60E-06,
-765.60E-06,
-764.60E-06,
-763.60E-06,
-762.60E-06,
-761.60E-06,
-760.60E-06,
-759.60E-06,
-758.60E-06,
-757.60E-06,
-756.60E-06,
-755.60E-06,
-754.60E-06,
-753.60E-06,
-752.60E-06,
-751.60E-06,
-750.60E-06,
-749.60E-06,
-748.60E-06,
-747.60E-06,
-746.60E-06,
-745.60E-06,
-744.60E-06,
-743.60E-06,
-742.60E-06,
-741.60E-06,
-740.60E-06,
-739.60E-06,
-738.60E-06,
-737.60E-06,
-736.60E-06,
-735.60E-06,
-734.60E-06,
-733.60E-06,
-732.60E-06,
-731.60E-06,
-730.60E-06,
-729.60E-06,
-728.60E-06,
-727.60E-06,
-726.60E-06,
-725.60E-06,
-724.60E-06,
-723.60E-06,
-722.60E-06,
-721.60E-06,
-720.60E-06,
-719.60E-06,
-718.60E-06,
-717.60E-06,
-716.60E-06,
-715.60E-06,
-714.60E-06,
-713.60E-06,
-712.60E-06,
-711.60E-06,
-710.60E-06,
-709.60E-06,
-708.60E-06,
-707.60E-06,
-706.60E-06,
-705.60E-06,
-704.60E-06,
-703.60E-06,
-702.60E-06,
-701.60E-06,
-700.60E-06,
-699.60E-06,
-698.60E-06,
-697.60E-06,
-696.60E-06,
-695.60E-06,
-694.60E-06,
-693.60E-06,
-692.60E-06,
-691.60E-06,
-690.60E-06,
-689.60E-06,
-688.60E-06,
-687.60E-06,
-686.60E-06,
-685.60E-06,
-684.60E-06,
-683.60E-06,
-682.60E-06,
-681.60E-06,
-680.60E-06,
-679.60E-06,
-678.60E-06,
-677.60E-06,
-676.60E-06,
-675.60E-06,
-674.60E-06,
-673.60E-06,
-672.60E-06,
-671.60E-06,
-670.60E-06,
-669.60E-06,
-668.60E-06,
-667.60E-06,
-666.60E-06,
-665.60E-06,
-664.60E-06,
-663.60E-06,
-662.60E-06,
-661.60E-06,
-660.60E-06,
-659.60E-06,
-658.60E-06,
-657.60E-06,
-656.60E-06,
-655.60E-06,
-654.60E-06,
-653.60E-06,
-652.60E-06,
-651.60E-06,
-650.60E-06,
-649.60E-06,
-648.60E-06,
-647.60E-06,
-646.60E-06,
-645.60E-06,
-644.60E-06,
-643.60E-06,
-642.60E-06,
-641.60E-06,
-640.60E-06,
-639.60E-06,
-638.60E-06,
-637.60E-06,
-636.60E-06,
-635.60E-06,
-634.60E-06,
-633.60E-06,
-632.60E-06,
-631.60E-06,
-630.60E-06,
-629.60E-06,
-628.60E-06,
-627.60E-06,
-626.60E-06,
-625.60E-06,
-624.60E-06,
-623.60E-06,
-622.60E-06,
-621.60E-06,
-620.60E-06,
-619.60E-06,
-618.60E-06,
-617.60E-06,
-616.60E-06,
-615.60E-06,
-614.60E-06,
-613.60E-06,
-612.60E-06,
-611.60E-06,
-610.60E-06,
-609.60E-06,
-608.60E-06,
-607.60E-06,
-606.60E-06,
-605.60E-06,
-604.60E-06,
-603.60E-06,
-602.60E-06,
-601.60E-06,
-600.60E-06,
-599.60E-06,
-598.60E-06,
-597.60E-06,
-596.60E-06,
-595.60E-06,
-594.60E-06,
-593.60E-06,
-592.60E-06,
-591.60E-06,
-590.60E-06,
-589.60E-06,
-588.60E-06,
-587.60E-06,
-586.60E-06,
-585.60E-06,
-584.60E-06,
-583.60E-06,
-582.60E-06,
-581.60E-06,
-580.60E-06,
-579.60E-06,
-578.60E-06,
-577.60E-06,
-576.60E-06,
-575.60E-06,
-574.60E-06,
-573.60E-06,
-572.60E-06,
-571.60E-06,
-570.60E-06,
-569.60E-06,
-568.60E-06,
-567.60E-06,
-566.60E-06,
-565.60E-06,
-564.60E-06,
-563.60E-06,
-562.60E-06,
-561.60E-06,
-560.60E-06,
-559.60E-06,
-558.60E-06,
-557.60E-06,
-556.60E-06,
-555.60E-06,
-554.60E-06,
-553.60E-06,
-552.60E-06,
-551.60E-06,
-550.60E-06,
-549.60E-06,
-548.60E-06,
-547.60E-06,
-546.60E-06,
-545.60E-06,
-544.60E-06,
-543.60E-06,
-542.60E-06,
-541.60E-06,
-540.60E-06,
-539.60E-06,
-538.60E-06,
-537.60E-06,
-536.60E-06,
-535.60E-06,
-534.60E-06,
-533.60E-06,
-532.60E-06,
-531.60E-06,
-530.60E-06,
-529.60E-06,
-528.60E-06,
-527.60E-06,
-526.60E-06,
-525.60E-06,
-524.60E-06,
-523.60E-06,
-522.60E-06,
-521.60E-06,
-520.60E-06,
-519.60E-06,
-518.60E-06,
-517.60E-06,
-516.60E-06,
-515.60E-06,
-514.60E-06,
-513.60E-06,
-512.60E-06,
-511.60E-06,
-510.60E-06,
-509.60E-06,
-508.60E-06,
-507.60E-06,
-506.60E-06,
-505.60E-06,
-504.60E-06,
-503.60E-06,
-502.60E-06,
-501.60E-06,
-500.60E-06,
-499.60E-06,
-498.60E-06,
-497.60E-06,
-496.60E-06,
-495.60E-06,
-494.60E-06,
-493.60E-06,
-492.60E-06,
-491.60E-06,
-490.60E-06,
-489.60E-06,
-488.60E-06,
-487.60E-06,
-486.60E-06,
-485.60E-06,
-484.60E-06,
-483.60E-06,
-482.60E-06,
-481.60E-06,
-480.60E-06,
-479.60E-06,
-478.60E-06,
-477.60E-06,
-476.60E-06,
-475.60E-06,
-474.60E-06,
-473.60E-06,
-472.60E-06,
-471.60E-06,
-470.60E-06,
-469.60E-06,
-468.60E-06,
-467.60E-06,
-466.60E-06,
-465.60E-06,
-464.60E-06,
-463.60E-06,
-462.60E-06,
-461.60E-06,
-460.60E-06,
-459.60E-06,
-458.60E-06,
-457.60E-06,
-456.60E-06,
-455.60E-06,
-454.60E-06,
-453.60E-06,
-452.60E-06,
-451.60E-06,
-450.60E-06,
-449.60E-06,
-448.60E-06,
-447.60E-06,
-446.60E-06,
-445.60E-06,
-444.60E-06,
-443.60E-06,
-442.60E-06,
-441.60E-06,
-440.60E-06,
-439.60E-06,
-438.60E-06,
-437.60E-06,
-436.60E-06,
-435.60E-06,
-434.60E-06,
-433.60E-06,
-432.60E-06,
-431.60E-06,
-430.60E-06,
-429.60E-06,
-428.60E-06,
-427.60E-06,
-426.60E-06,
-425.60E-06,
-424.60E-06,
-423.60E-06,
-422.60E-06,
-421.60E-06,
-420.60E-06,
-419.60E-06,
-418.60E-06,
-417.60E-06,
-416.60E-06,
-415.60E-06,
-414.60E-06,
-413.60E-06,
-412.60E-06,
-411.60E-06,
-410.60E-06,
-409.60E-06,
-408.60E-06,
-407.60E-06,
-406.60E-06,
-405.60E-06,
-404.60E-06,
-403.60E-06,
-402.60E-06,
-401.60E-06,
-400.60E-06,
-399.60E-06,
-398.60E-06,
-397.60E-06,
-396.60E-06,
-395.60E-06,
-394.60E-06,
-393.60E-06,
-392.60E-06,
-391.60E-06,
-390.60E-06,
-389.60E-06,
-388.60E-06,
-387.60E-06,
-386.60E-06,
-385.60E-06,
-384.60E-06,
-383.60E-06,
-382.60E-06,
-381.60E-06,
-380.60E-06,
-379.60E-06,
-378.60E-06,
-377.60E-06,
-376.60E-06,
-375.60E-06,
-374.60E-06,
-373.60E-06,
-372.60E-06,
-371.60E-06,
-370.60E-06,
-369.60E-06,
-368.60E-06,
-367.60E-06,
-366.60E-06,
-365.60E-06,
-364.60E-06,
-363.60E-06,
-362.60E-06,
-361.60E-06,
-360.60E-06,
-359.60E-06,
-358.60E-06,
-357.60E-06,
-356.60E-06,
-355.60E-06,
-354.60E-06,
-353.60E-06,
-352.60E-06,
-351.60E-06,
-350.60E-06,
-349.60E-06,
-348.60E-06,
-347.60E-06,
-346.60E-06,
-345.60E-06,
-344.60E-06,
-343.60E-06,
-342.60E-06,
-341.60E-06,
-340.60E-06,
-339.60E-06,
-338.60E-06,
-337.60E-06,
-336.60E-06,
-335.60E-06,
-334.60E-06,
-333.60E-06,
-332.60E-06,
-331.60E-06,
-330.60E-06,
-329.60E-06,
-328.60E-06,
-327.60E-06,
-326.60E-06,
-325.60E-06,
-324.60E-06,
-323.60E-06,
-322.60E-06,
-321.60E-06,
-320.60E-06,
-319.60E-06,
-318.60E-06,
-317.60E-06,
-316.60E-06,
-315.60E-06,
-314.60E-06,
-313.60E-06,
-312.60E-06,
-311.60E-06,
-310.60E-06,
-309.60E-06,
-308.60E-06,
-307.60E-06,
-306.60E-06,
-305.60E-06,
-304.60E-06,
-303.60E-06,
-302.60E-06,
-301.60E-06,
-300.60E-06,
-299.60E-06,
-298.60E-06,
-297.60E-06,
-296.60E-06,
-295.60E-06,
-294.60E-06,
-293.60E-06,
-292.60E-06,
-291.60E-06,
-290.60E-06,
-289.60E-06,
-288.60E-06,
-287.60E-06,
-286.60E-06,
-285.60E-06,
-284.60E-06,
-283.60E-06,
-282.60E-06,
-281.60E-06,
-280.60E-06,
-279.60E-06,
-278.60E-06,
-277.60E-06,
-276.60E-06,
-275.60E-06,
-274.60E-06,
-273.60E-06,
-272.60E-06,
-271.60E-06,
-270.60E-06,
-269.60E-06,
-268.60E-06,
-267.60E-06,
-266.60E-06,
-265.60E-06,
-264.60E-06,
-263.60E-06,
-262.60E-06,
-261.60E-06,
-260.60E-06,
-259.60E-06,
-258.60E-06,
-257.60E-06,
-256.60E-06,
-255.60E-06,
-254.60E-06,
-253.60E-06,
-252.60E-06,
-251.60E-06,
-250.60E-06,
-249.60E-06,
-248.60E-06,
-247.60E-06,
-246.60E-06,
-245.60E-06,
-244.60E-06,
-243.60E-06,
-242.60E-06,
-241.60E-06,
-240.60E-06,
-239.60E-06,
-238.60E-06,
-237.60E-06,
-236.60E-06,
-235.60E-06,
-234.60E-06,
-233.60E-06,
-232.60E-06,
-231.60E-06,
-230.60E-06,
-229.60E-06,
-228.60E-06,
-227.60E-06,
-226.60E-06,
-225.60E-06,
-224.60E-06,
-223.60E-06,
-222.60E-06,
-221.60E-06,
-220.60E-06,
-219.60E-06,
-218.60E-06,
-217.60E-06,
-216.60E-06,
-215.60E-06,
-214.60E-06,
-213.60E-06,
-212.60E-06,
-211.60E-06,
-210.60E-06,
-209.60E-06,
-208.60E-06,
-207.60E-06,
-206.60E-06,
-205.60E-06,
-204.60E-06,
-203.60E-06,
-202.60E-06,
-201.60E-06,
-200.60E-06,
-199.60E-06,
-198.60E-06,
-197.60E-06,
-196.60E-06,
-195.60E-06,
-194.60E-06,
-193.60E-06,
-192.60E-06,
-191.60E-06,
-190.60E-06,
-189.60E-06,
-188.60E-06,
-187.60E-06,
-186.60E-06,
-185.60E-06,
-184.60E-06,
-183.60E-06,
-182.60E-06,
-181.60E-06,
-180.60E-06,
-179.60E-06,
-178.60E-06,
-177.60E-06,
-176.60E-06,
-175.60E-06,
-174.60E-06,
-173.60E-06,
-172.60E-06,
-171.60E-06,
-170.60E-06,
-169.60E-06,
-168.60E-06,
-167.60E-06,
-166.60E-06,
-165.60E-06,
-164.60E-06,
-163.60E-06,
-162.60E-06,
-161.60E-06,
-160.60E-06,
-159.60E-06,
-158.60E-06,
-157.60E-06,
-156.60E-06,
-155.60E-06,
-154.60E-06,
-153.60E-06,
-152.60E-06,
-151.60E-06,
-150.60E-06,
-149.60E-06,
-148.60E-06,
-147.60E-06,
-146.60E-06,
-145.60E-06,
-144.60E-06,
-143.60E-06,
-142.60E-06,
-141.60E-06,
-140.60E-06,
-139.60E-06,
-138.60E-06,
-137.60E-06,
-136.60E-06,
-135.60E-06,
-134.60E-06,
-133.60E-06,
-132.60E-06,
-131.60E-06,
-130.60E-06,
-129.60E-06,
-128.60E-06,
-127.60E-06,
-126.60E-06,
-125.60E-06,
-124.60E-06,
-123.60E-06,
-122.60E-06,
-121.60E-06,
-120.60E-06,
-119.60E-06,
-118.60E-06,
-117.60E-06,
-116.60E-06,
-115.60E-06,
-114.60E-06,
-113.60E-06,
-112.60E-06,
-111.60E-06,
-110.60E-06,
-109.60E-06,
-108.60E-06,
-107.60E-06,
-106.60E-06,
-105.60E-06,
-104.60E-06,
-103.60E-06,
-102.60E-06,
-101.60E-06,
-100.60E-06,
-99.60E-06,
-98.60E-06,
-97.60E-06,
-96.60E-06,
-95.60E-06,
-94.60E-06,
-93.60E-06,
-92.60E-06,
-91.60E-06,
-90.60E-06,
-89.60E-06,
-88.60E-06,
-87.60E-06,
-86.60E-06,
-85.60E-06,
-84.60E-06,
-83.60E-06,
-82.60E-06,
-81.60E-06,
